Day;Hour;Minute;InverterPVActualActivePower;ActivePowerAbsorbedFromGrid;InverterConsumerActivePowerLoad;ActivePowerInjectedToGrid
01;00;15;0;390;317;0
01;00;30;0;295;204;0
01;00;45;0;159;20;0
01;01;00;0;459;475;0
01;01;15;0;206;67;0
01;01;30;0;223;166;0
01;01;45;0;483;367;0
01;02;00;0;97;20;0
01;02;15;0;358;277;0
01;02;30;0;287;255;0
01;02;45;0;56;31;0
01;03;00;0;488;445;0
01;03;15;0;129;87;0
01;03;30;0;157;110;0
01;03;45;0;450;437;0
01;04;00;0;105;28;0
01;04;15;0;311;265;0
01;04;30;0;282;276;0
01;04;45;0;51;10;0
01;05;00;0;452;449;0
01;05;15;0;175;107;0
01;05;30;0;127;90;0
01;05;45;0;477;460;0
01;06;00;0;70;20;0
01;06;15;0;278;240;0
01;06;30;0;371;315;0
01;06;45;0;49;21;0
01;07;00;0;419;385;0
01;07;15;0;189;161;0
01;07;30;0;110;43;0
01;07;45;0;439;513;0
01;08;00;0;128;25;0
01;08;15;0;234;211;0
01;08;30;10;389;340;0
01;08;45;29;48;20;0
01;09;00;41;373;356;0
01;09;15;59;563;639;0
01;09;30;80;670;700;0
01;09;45;94;74;91;42
01;10;00;121;259;295;18
01;10;15;151;240;337;45
01;10;30;184;0;33;117
01;10;45;193;277;406;39
01;11;00;207;190;145;61
01;11;15;246;47;41;131
01;11;30;239;302;500;29
01;11;45;280;24;35;189
01;12;00;231;110;176;108
01;12;15;284;210;365;86
01;12;30;420;12;50;328
01;12;45;360;654;999;16
01;13;00;347;868;1143;0
01;13;15;563;343;764;47
01;13;30;575;360;958;37
01;13;45;865;43;483;263
01;14;00;587;10;463;88
01;14;15;738;160;820;53
01;14;30;780;40;387;318
01;14;45;911;27;338;531
01;15;00;509;103;447;131
01;15;15;151;90;132;73
01;15;30;124;640;740;0
01;15;45;80;666;691;0
01;16;00;41;161;143;0
01;16;15;19;463;441;0
01;16;30;10;163;91;0
01;16;45;0;192;95;0
01;17;00;0;500;448;0
01;17;15;0;89;23;0
01;17;30;0;326;255;0
01;17;45;0;360;275;0
01;18;00;0;97;20;0
01;18;15;0;480;400;0
01;18;30;0;281;145;0
01;18;45;0;265;45;0
01;19;00;0;602;486;0
01;19;15;0;122;20;0
01;19;30;0;312;212;0
01;19;45;0;400;333;0
01;20;00;0;130;20;0
01;20;15;0;463;377;0
01;20;30;0;319;153;0
01;20;45;0;159;50;0
01;21;00;0;568;495;0
01;21;15;0;162;20;0
01;21;30;0;315;180;0
01;21;45;0;448;360;0
01;22;00;0;120;20;0
01;22;15;0;425;345;0
01;22;30;0;262;205;0
01;22;45;0;96;16;0
01;23;00;0;507;481;0
01;23;15;0;140;70;0
01;23;30;0;188;127;0
01;23;45;0;503;429;0
02;00;00;0;110;20;0
02;00;15;0;284;260;0
02;00;30;0;252;280;0
02;00;45;0;168;27;0
02;01;00;0;467;433;0
02;01;15;0;180;125;0
02;01;30;0;85;60;0
02;01;45;0;503;480;0
02;02;00;0;87;24;0
02;02;15;0;273;221;0
02;02;30;0;388;340;0
02;02;45;0;143;20;0
02;03;00;0;360;347;0
02;03;15;0;175;203;0
02;03;30;0;96;39;0
02;03;45;0;492;496;0
02;04;00;0;99;50;0
02;04;15;0;215;135;0
02;04;30;0;404;420;0
02;04;45;0;100;25;0
02;05;00;0;302;295;0
02;05;15;0;327;260;0
02;05;30;0;49;20;0
02;05;45;0;300;420;0
02;06;00;0;330;144;0
02;06;15;0;147;86;0
02;06;30;0;473;475;0
02;06;45;0;57;20;0
02;07;00;0;586;570;0
02;07;15;0;745;692;0
02;07;30;0;599;376;0
02;07;45;0;526;507;0
02;08;00;0;214;150;0
02;08;15;0;60;20;0
02;08;30;10;358;293;0
02;08;45;19;327;345;0
02;09;00;28;67;17;0
02;09;15;53;345;410;0
02;09;30;75;143;157;19
02;09;45;116;35;38;32
02;10;00;143;385;526;4.000000001
02;10;15;126;40;34;50
02;10;30;144;102;180;45
02;10;45;111;328;381;13
02;11;00;119;0;20;52
02;11;15;170;256;305;45
02;11;30;156;254;261;0
02;11;45;143;355;22;19
02;12;00;212;858;460;0
02;12;15;320;167;90;100
02;12;30;445;10;116;277
02;12;45;1075;0;549;512
02;13;00;1695;0;701;959
02;13;15;1520;0;491;931
02;13;30;665;9.999999999;20;572
02;13;45;565;99;460;185
02;14;00;391;46;94;231
02;14;15;294;105;142;163
02;14;30;221;220;340;58
02;14;45;150;0;20;87
02;15;00;90;357;405;5.000000001
02;15;15;54;92;104;0
02;15;30;31;132;131;0
02;15;45;10;381;385;0
02;16;00;9;83;15;0
02;16;15;0;350;345;0
02;16;30;0;220;177;0
02;16;45;0;102;73;0
02;17;00;0;440;445;0
02;17;15;0;143;20;0
02;17;30;0;360;277;0
02;17;45;0;327;248;0
02;18;00;0;136;30;0
02;18;15;0;518;487;0
02;18;30;0;197;33;0
02;18;45;0;317;175;0
02;19;00;0;563;347;0
02;19;15;0;140;33;0
02;19;30;0;439;396;0
02;19;45;0;257;135;0
02;20;00;0;203;91;0
02;20;15;0;512;450;0
02;20;30;0;108;23;0
02;20;45;0;331;262;0
02;21;00;0;328;260;0
02;21;15;0;104;20;0
02;21;30;0;510;463;0
02;21;45;0;145;58;0
02;22;00;0;273;164;0
02;22;15;0;512;351;0
02;22;30;0;103;20;0
02;22;45;0;447;361;0
02;23;00;0;257;157;0
02;23;15;0;223;83;0
02;23;30;0;507;425;0
