Day;Hour;Minute;InverterPVActualActivePower;ActivePowerAbsorbedFromGrid;InverterConsumerActivePowerLoad
03;00;15;0;85;0
03;00;30;0;109;411
03;00;45;0;76;9
03;01;00;0;105;481
03;01;15;0;69;0
03;01;30;0;101;400
03;01;45;0;91;100
03;02;00;0;90;0
03;02;15;0;114;660
03;02;30;0;80;10
03;02;45;0;95;460
03;03;00;0;94;149
03;03;15;0;76;226
03;03;30;0;110;405
03;03;45;0;86;90
03;04;00;0;119;599
03;04;15;0;66;9.999999999
03;04;30;0;119;621
03;04;45;0;110;930
03;05;00;0;110;575
03;05;15;0;120;941
03;05;30;0;116;415
03;05;45;0;124;954
03;06;00;0;80;145
03;06;15;0;136;925
03;06;30;0;80;120
03;06;45;0;124;936
03;07;00;0;94;300
03;07;15;0;136;904
03;07;30;0;95;346
03;07;45;0;145;660
03;08;00;0;231;428
03;08;15;0;139;210
03;08;30;0;111;205
03;08;45;0;139;966
03;09;00;0;100;271
03;09;15;0;86;0
03;09;30;0;114;824
03;09;45;0;90;176
03;10;00;0;70;0
03;10;15;18;85;0
03;10;30;33;100;340
03;10;45;67;80;0
03;11;00;85;66;0
03;11;15;84;89;45
03;11;30;90;80;294
03;11;45;104;100;225
03;12;00;117;90;65
03;12;15;119;80;0
03;12;30;127;100;9
03;12;45;133;165;0
03;13;00;170;135;670
03;13;15;191;120;436
03;13;30;200;112;35
03;13;45;199;84;10
03;14;00;160;104;349
03;14;15;140;76;0
03;14;30;100;89;251
03;14;45;47;80;101
03;15;00;59;95;19
03;15;15;44;114;789
03;15;30;34;80;9.999999999
03;15;45;11;85;221
03;16;00;12;112;529
03;16;15;0;69;0
03;16;30;0;170;700
03;16;45;0;91;40
03;17;00;0;134;481
03;17;15;0;160;591
03;17;30;0;160;89
03;17;45;0;175;0
03;18;00;0;179;0
03;18;15;0;211;9
03;18;30;0;225;771
03;18;45;0;165;920
03;19;00;0;135;600
03;19;15;0;145;590
03;19;30;0;141;690
03;19;45;0;148;360
03;20;00;0;141;939
03;20;15;0;131;332
03;20;30;0;143;884
03;20;45;0;146;616
03;21;00;0;120;479
03;21;15;0;154;530
03;21;30;0;107;65
03;21;45;0;160;940
03;22;00;0;119;310
03;22;15;0;120;86
03;22;30;0;135;728
03;22;45;0;115;0
03;23;00;0;170;651
03;23;15;0;200;496
03;23;30;0;175;103
03;23;45;0;141;0
04;00;00;0;80;12
04;00;15;0;85;0
04;00;30;0;90;0
04;00;45;0;99;238
04;01;00;0;80;0
04;01;15;0;100;371
04;01;30;0;100;220
04;01;45;0;89;190
04;02;00;0;112;150
04;02;15;0;94;350
04;02;30;0;105;241
04;02;45;0;75;5
04;03;00;0;119;544
04;03;15;0;75;0
04;03;30;0;136;660
04;03;45;0;75;0
04;04;00;0;124;550
04;04;15;0;71;5
04;04;30;0;116;435
