Day;Hour;Minute;InverterPVActualActivePower;ActivePowerAbsorbedFromGrid;InverterConsumerActivePowerLoad;ActivePowerInjectedToGrid
01;00;00;0;0;0;0
01;00;15;0;473;19;0
01;00;30;0;306;19;0
01;00;45;0;109;16;0
01;01;00;0;107;19;0
01;01;15;0;73;20;0
01;01;30;0;80;20;0
01;01;45;0;65;19;0
01;02;00;0;61;19;0
01;02;15;0;55;18;0
01;02;30;0;59;19;0
01;02;45;0;71;18;0
01;03;00;0;70;18;0
01;03;15;0;65;20;0
01;03;30;0;59;22;0
01;03;45;0;56;19;0
01;04;00;0;60;18;0
01;04;15;0;70;19;0
01;04;30;0;64;18;0
01;04;45;0;70;19;0
01;05;00;0;85;18;0
01;05;15;0;66;20;0
01;05;30;0;54;20;0
01;05;45;0;61;21;0
01;06;00;0;64;18;0
01;06;15;0;61;19;0
01;06;30;0;51;17;0
01;06;45;0;48;20;0
01;07;00;0;51;20;0
01;07;15;0;54;18;0
01;07;30;0;65;19;0
01;07;45;0;61;19;0
01;08;00;0;54;20;0
01;08;15;0;46;18;0
01;08;30;10;45;20;0
01;08;45;10;44;20;0
01;09;00;14;41;19;0
01;09;15;25;39;18;0
01;09;30;31;20;20;0
01;09;45;39;131;19;0
01;10;00;51;145;19;0
01;10;15;49;161;18;0
01;10;30;86;161;19;0
01;10;45;74;217;20;0
01;11;00;94;151;18;0
01;11;15;120;91;18;10
01;11;30;130;103;20;0
01;11;45;141;85;19;0
01;12;00;131;66;19;0
01;12;15;139;45;20;0
01;12;30;145;64;19;0
01;12;45;155;31;20;21
01;13;00;141;145;18;10
01;13;15;189;95;20;49
01;13;30;270;35;31;111
01;13;45;226;36;30;80
01;14;00;165;68;30;20
01;14;15;160;70;33;19
01;14;30;134;95;31;0
01;14;45;116;245;30;0
01;15;00;85;456;29;0
01;15;15;70;495;30;0
01;15;30;49;539;30;0
01;15;45;31;216;27;0
01;16;00;10;160;18;0
01;16;15;10;124;22;0
01;16;30;0;175;22;0
01;16;45;0;51;18;0
01;17;00;0;56;18;0
01;17;15;0;58;21;0
01;17;30;0;56;15;0
01;17;45;0;50;18;0
01;18;00;0;45;19;0
01;18;15;0;50;19;0
01;18;30;0;49;19;0
01;18;45;0;61;17;0
01;19;00;0;235;19;0
01;19;15;0;140;20;0
01;19;30;0;210;19;0
01;19;45;0;225;19;0
01;20;00;0;230;19;0
01;20;15;0;270;19;0
01;20;30;0;260;20;0
01;20;45;0;289;19;0
01;21;00;0;351;19;0
01;21;15;0;360;19;0
01;21;30;0;350;19;0
01;21;45;0;385;18;0
01;22;00;0;325;18;0
01;22;15;0;295;21;0
01;22;30;0;295;18;0
01;22;45;0;234;18;0
01;23;00;0;206;21;0
01;23;15;0;250;19;0
01;23;30;0;279;18;0
01;23;45;0;531;17;0
02;00;00;0;314;19;0
02;00;15;0;245;18;0
02;00;30;0;240;17;0
02;00;45;0;250;19;0
02;01;00;0;340;18;0
02;01;15;0;311;20;0
02;01;30;0;304;22;0
02;01;45;0;300;18;0
02;02;00;0;286;20;0
02;02;15;0;285;17;0
02;02;30;0;320;20;0
02;02;45;0;274;18;0
02;03;00;0;326;17;0
02;03;15;0;290;22;0
02;03;30;0;115;21;0
02;03;45;0;75;20;0
02;04;00;0;70;18;0
02;04;15;0;66;17;0
02;04;30;0;49;20;0
02;04;45;0;55;19;0
02;05;00;0;54;18;0
02;05;15;0;65;19;0
02;05;30;0;61;19;0
02;05;45;0;56;21;0
02;06;00;0;48;18;0
02;06;15;0;51;19;0
02;06;30;0;61;17;0
02;06;45;0;63;19;0
02;07;00;0;56;19;0
02;07;15;0;51;19;0
02;07;30;0;48;18;0
02;07;45;0;56;18;0
02;08;00;0;170;20;0
02;08;15;0;210;17;0
02;08;30;0;149;20;0
02;08;45;9;231;18;0
02;09;00;9.999999999;199;17;0
02;09;15;10;226;20;0
02;09;30;31;225;17;0
02;09;45;49;225;21;0
02;10;00;56;154;20;0
02;10;15;53;160;18;0
02;10;30;61;511;361;0
02;10;45;51;275;132;0
02;11;00;75;650;307;0
02;11;15;90;535;360;0
02;11;30;119;235;82;0
02;11;45;75;330;20;0
02;12;00;136;144;20;0
02;12;15;178;103;17;0
02;12;30;147;137;20;0
02;12;45;185;121;18;10
02;13;00;359;575;28;0
02;13;15;320;170;30;10
02;13;30;156;149;26;0
02;13;45;184;60;27;0
02;14;00;160;32;26;0
02;14;15;124;39;28;0
02;14;30;92;60;22;0
02;14;45;68;65;18;0
02;15;00;41;105;21;0
02;15;15;20;124;21;0
02;15;30;10;641;282;0
02;15;45;0;570;172;0
02;16;00;0;454;293;0
02;16;15;0;545;310;0
02;16;30;0;455;162;0
02;16;45;0;391;18;0
02;17;00;0;369;18;0
02;17;15;0;386;19;0
02;17;30;0;385;17;0
02;17;45;0;370;18;0
02;18;00;0;320;18;0
02;18;15;0;310;19;0
02;18;30;0;325;18;0
02;18;45;0;215;19;0
02;19;00;0;370;19;0
02;19;15;0;234;20;0
02;19;30;0;192;17;0
02;19;45;0;279;20;0
02;20;00;0;180;18;0
02;20;15;0;179;19;0
02;20;30;0;226;19;0
02;20;45;0;240;19;0
02;21;00;0;250;20;0
02;21;15;0;260;16;0
02;21;30;0;230;18;0
02;21;45;0;185;19;0
02;22;00;0;221;18;0
02;22;15;0;189;19;0
02;22;30;0;150;18;0
02;22;45;0;150;19;0
02;23;00;0;139;18;0
02;23;15;0;111;20;0
02;23;30;0;139;17;0
02;23;45;0;117;18;0
03;00;00;0;80;18;0
03;00;15;0;158;18;0
03;00;30;0;116;17;0
03;00;45;0;110;18;0
03;01;00;0;115;19;0
03;01;15;0;115;20;0
03;01;30;0;145;20;0
03;01;45;0;134;19;0
03;02;00;0;141;17;0
03;02;15;0;130;20;0
03;02;30;0;130;18;0
03;02;45;0;140;19;0
03;03;00;0;170;17;0
03;03;15;0;71;21;0
03;03;30;0;75;21;0
03;03;45;0;58;18;0
03;04;00;0;51;18;0
03;04;15;0;49;19;0
03;04;30;0;57;18;0
03;04;45;0;64;18;0
03;05;00;0;61;19;0
03;05;15;0;48;17;0
03;05;30;0;51;21;0
03;05;45;0;55;22;0
03;06;00;0;55;18;0
03;06;15;0;60;18;0
03;06;30;0;61;18;0
03;06;45;0;48;17;0
03;07;00;0;51;20;0
03;07;15;0;49;18;0
03;07;30;0;51;18;0
03;07;45;0;80;19;0
03;08;00;0;320;19;0
03;08;15;0;175;18;0
03;08;30;0;105;19;0
03;08;45;0;475;19;0
03;09;00;0;194;18;0
03;09;15;0;207;19;0
03;09;30;0;133;18;0
